fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
1003,Alabama,Baldwin,2020-09-15 14:30:00,269.0,207.0,126286.0,43868.59200743494,2020,eaglei_outages_2020_merged.csv,269.0
1069,Alabama,Houston,2018-10-10 17:30:00,161.25,244.0,23059.0,8292.246511627907,2018,eaglei_outages_2018_merged.csv,161.25
1077,Alabama,Lauderdale,2023-03-25 04:00:00,157.0,300.0,26166.0,4504.960191082802,2023,eaglei_outages_2023_merged.csv,157.0
1097,Alabama,Mobile,2020-09-15 09:30:00,134.25,298.0,143114.0,47663.72067039106,2020,eaglei_outages_2020_merged.csv,134.25
1003,Alabama,Baldwin,2020-03-05 17:30:00,123.75,203.0,1387.0,231.38181818181815,2020,eaglei_outages_2020_merged.csv,123.75
1061,Alabama,Geneva,2018-10-10 18:45:00,116.75,209.0,10055.0,2796.038543897216,2018,eaglei_outages_2018_merged.csv,116.75
1099,Alabama,Monroe,2020-09-16 00:45:00,116.5,205.0,6793.0,2097.233905579399,2020,eaglei_outages_2020_merged.csv,116.5
1099,Alabama,Monroe,2020-10-29 03:00:00,116.0,242.0,5909.0,2580.1530172413795,2020,eaglei_outages_2020_merged.csv,116.0
1131,Alabama,Wilcox,2020-10-29 04:00:00,115.0,218.0,6628.0,4874.345652173913,2020,eaglei_outages_2020_merged.csv,115.0
1047,Alabama,Dallas,2020-10-29 04:15:00,114.75,507.0,22935.0,14942.10239651416,2020,eaglei_outages_2020_merged.csv,114.75
1021,Alabama,Chilton,2020-10-29 04:30:00,114.5,337.0,23217.0,14202.294759825329,2020,eaglei_outages_2020_merged.csv,114.5
1001,Alabama,Autauga,2020-10-29 04:45:00,114.25,372.0,14652.0,6813.288840262582,2020,eaglei_outages_2020_merged.csv,114.25
1051,Alabama,Elmore,2020-10-29 05:15:00,113.75,217.0,28606.0,8286.468131868132,2020,eaglei_outages_2020_merged.csv,113.75
1037,Alabama,Coosa,2020-10-29 06:15:00,112.75,705.0,6664.0,4663.263858093126,2020,eaglei_outages_2020_merged.csv,112.75
1117,Alabama,Shelby,2020-10-29 08:00:00,111.0,282.0,59216.0,18573.94144144144,2020,eaglei_outages_2020_merged.csv,111.0
1015,Alabama,Calhoun,2020-10-29 08:45:00,110.25,1060.0,30458.0,14827.696145124715,2020,eaglei_outages_2020_merged.csv,110.25
1115,Alabama,St. Clair,2020-10-29 08:45:00,110.25,657.0,16066.0,4754.8231292517,2020,eaglei_outages_2020_merged.csv,110.25
1121,Alabama,Talladega,2020-10-29 08:45:00,110.25,4543.0,30822.0,13359.501133786847,2020,eaglei_outages_2020_merged.csv,110.25
1025,Alabama,Clarke,2020-10-29 12:00:00,107.0,2735.0,7796.0,4937.303738317757,2020,eaglei_outages_2020_merged.csv,107.0
1091,Alabama,Marengo,2020-10-29 12:00:00,107.0,246.0,3045.0,1443.0957943925234,2020,eaglei_outages_2020_merged.csv,107.0
1097,Alabama,Mobile,2020-10-29 12:00:00,107.0,5170.0,114158.0,32419.82943925233,2020,eaglei_outages_2020_merged.csv,107.0
1105,Alabama,Perry,2020-10-29 12:00:00,107.0,1583.0,4338.0,2539.0070093457944,2020,eaglei_outages_2020_merged.csv,107.0
1129,Alabama,Washington,2020-10-29 12:00:00,107.0,270.0,561.0,393.5724299065421,2020,eaglei_outages_2020_merged.csv,107.0
1027,Alabama,Clay,2020-10-29 12:15:00,106.75,209.0,5175.0,2913.2295081967213,2020,eaglei_outages_2020_merged.csv,106.75
1029,Alabama,Cleburne,2020-10-29 12:30:00,106.5,316.0,8104.0,3939.201877934273,2020,eaglei_outages_2020_merged.csv,106.5
1111,Alabama,Randolph,2020-10-29 12:30:00,106.5,411.0,10098.0,4415.192488262911,2020,eaglei_outages_2020_merged.csv,106.5
1123,Alabama,Tallapoosa,2020-10-29 12:00:00,106.25,218.0,15368.0,4987.042352941176,2020,eaglei_outages_2020_merged.csv,106.25
1017,Alabama,Chambers,2020-10-29 13:00:00,106.0,258.0,2470.0,833.5896226415094,2020,eaglei_outages_2020_merged.csv,106.0
1007,Alabama,Bibb,2020-10-29 12:00:00,104.75,204.0,8648.0,1894.9260143198087,2020,eaglei_outages_2020_merged.csv,104.75
1051,Alabama,Elmore,2018-02-16 14:30:00,101.0,292.0,829.0,303.05940594059405,2018,eaglei_outages_2018_merged.csv,101.0
