Model,AUC,Precision,Recall,F1
RF,0.9749370455306702,0.7830720152039639,0.8833843797856049,0.8302090454430971
XGBoost,0.9785962227192989,0.7028178052622367,0.9224349157733538,0.7977881527101751
Ensemble (0.7RF+0.3XGB),0.9773310155027144,0.762593678722711,0.8960183767228178,0.8239394472804084
