feature,rf_imp,xgb_imp,avg_imp
log_pre_ntl,0.32763976863883404,0.29381937,0.3107295682622118
log_post_ntl,0.2195689858757651,0.06778249,0.14367573866065325
city_size_code,0.0904489556656861,0.17103487,0.1307419140987885
log_city_pre_mean,0.07812932945469557,0.10758578,0.09285755488862366
ntl_relative,0.1478206557810917,0.03599542,0.09190803792479706
is_hurricane,0.02202104846440458,0.111227825,0.0666244368742044
below_city_median,0.08146179753854114,0.04630506,0.06388342896259944
is_earthquake,0.01298800146142017,0.10245978,0.05772389116664415
delta_ntl,0.011470866499969161,0.031182418,0.021326642073009806
drop_magnitude,0.008450590619592429,0.032606967,0.020528778706564783
