lon,lat,address,folio,rescomm,propuse,prob_modelA,prob_modelD
-80.34097435110084,25.706143839397978,6740SW 90TH CT,3040280090620,R,0220,0.45158583,0.5934868
-80.38594981823894,25.738813298054144,11770SW 32ND TER,3049130160810,R,0220,0.0,0.0
-80.30652781103248,25.714739125835386,5940SW 69TH AVE,3040260110840,R,0220,0.23585443,0.5464889
-80.32404138916789,25.704704306449646,7990SW 69TH TER,3040270240080,R,0220,0.090973005,0.5903509
-80.34338318892512,25.710474953628808,9235SW 63RD ST,3040280110170,R,0220,0.22792406,0.5857338
-80.29124686977164,25.728196725954497,5940SW 46TH ST,3040240140420,R,0220,0.37904322,0.6124894
-80.37182293633538,25.71416279043415,5721SW 109TH CT,3040300030050,R,0220,0.0,0.0
-80.3471249451713,25.71174655489032,9411SW 61ST ST,3040280063740,R,0220,0.2221035,0.59058654
-80.34402476839598,25.711756281105743,6101SW 93RD AVE,3040280070280,R,0220,0.22792406,0.5857338
-80.22705064277604,25.882510563861,11860NW 17TH AVE,3021340040620,C,1521,0.23738347,0.6943713
-80.33814781643241,25.827123521967955,8795NW 58TH ST,3030160000010,C,1822,0.15242018,0.69352186
-80.36374968075727,25.74428084355714,10401SW 27TH ST,3040170100027,R,0220,0.0,0.0
-80.34696750823126,25.71304733060721,5910SW 94TH AVE,3040280063460,R,0220,0.2221035,0.59058654
-80.31337900209135,25.705989150622962,6850SW 73RD CT,3040260090320,R,0220,0.088537395,0.5755284
-80.38426189280322,25.705973422965805,6655SW 118TH AVE,3049250000770,R,0220,0.0,0.0
-80.29115684780038,25.751501215291828,2033SW 59TH AVE,3040120110191,R,0220,0.28277308,0.61913294
-80.30588450410134,25.704497681765538,7115SW 69TH CT,3040260390010,R,0220,0.09419482,0.578263
-80.35390068133957,25.72141925037259,9830SW 50TH ST,3040200050620,R,0220,0.08731233,0.58711845
-80.27732417313553,25.700727058851484,5208SW 76TH ST,3041310180510,R,0220,0.16468807,0.4811599
-80.34502937683608,25.742338804700957,2905SW 92ND PL,3040160190480,R,0220,0.9307803,0.6455301
-80.33726248000752,25.72121015071764,5045SW 88TH CT,3040210130850,R,0220,0.90971774,0.59521616
-80.35195315895643,25.759157671115727,9640SW 10TH TER,3040090100050,R,0220,0.5403988,0.612083
-80.3342924834899,25.762760055063413,8510GRAND CANAL DR,3040030062310,R,0220,0.17060924,0.7189767
