held_out,n_train,n_test,pos_rate_test,rf_auc,rf_ap,xgb_auc,xgb_ap,logit_auc,logit_ap
Atmos_Seattle,59719,2184,0.09432234432234432,0.7468721470152258,0.24363438261531578,0.7469543620603336,0.24670366141435382,0.7486207505865491,0.2442287757514406
Derecho_Chicago,59452,2451,0.3602611179110567,0.673936328495158,0.5480041543968242,0.6549076807959877,0.5283522074687719,0.6728735237016665,0.5481519847632348
Earthquake_Hatay,60338,1565,0.006389776357827476,0.802379421221865,0.01634945036372043,0.7855627009646302,0.015107140760845461,0.7921543408360128,0.01551590866268837
Earthquake_SanJuan,60534,1369,0.3323593864134405,0.725955226392863,0.5504775774864568,0.5954889749200472,0.3682422898211335,0.7221006564551422,0.5443789859236977
Florence_MyrtleBeach,60400,1503,0.13506320691949433,0.6882133383857523,0.2130933203099888,0.6572243273967412,0.20427692790245144,0.689708222811671,0.2143152859527731
Florence_Wilmington,60476,1427,0.12263489838822705,0.6449566408032863,0.2013786687192064,0.6253012323140119,0.21576727337723922,0.6530305796439981,0.20138115723718042
Ian_CharlotteHarbor,61127,776,0.15335051546391754,0.6951830960694779,0.3189471867126334,0.6880332041492396,0.2886619573590543,0.7002033690188404,0.3246822510196051
Ian_FortMyers,58994,2909,0.1505672052251633,0.677063063962051,0.2972033451034449,0.6763100366072929,0.2962187857427383,0.6721069428198149,0.2922719453483005
IceStorm_OKC,58223,3680,0.14375,0.6958963428059266,0.2645148281160005,0.6966948410772468,0.2657144932817333,0.6951536374265919,0.2698054960844467
Ida_NewOrleans,59516,2387,0.31378299120234604,0.741915961208351,0.5695612283808931,0.7377272260449831,0.5632464989955522,0.740843713473887,0.5649967890422819
Irma_Miami,59643,2260,0.3570796460176991,0.6934074780972751,0.5414640768938581,0.6727336766814122,0.517170658697688,0.6930744492231173,0.5399080896956079
Irma_Savannah,60280,1623,0.11460258780036968,0.7556681706961187,0.2524659782793784,0.7514535210002918,0.2521507342271543,0.756025471225148,0.2529281415646137
Isaias_Newark,57917,3986,0.41921726041144003,0.7063086084172512,0.5855054974148595,0.7058016759018344,0.5873074194872844,0.7054318814279419,0.5836077081056732
Isaias_Westchester,59930,1973,0.0983274201723264,0.6440792638051032,0.17662737681512555,0.6315664424007464,0.17866911505225266,0.6423480120303889,0.17428105113500836
Laura_LakeCharles,60282,1621,0.1714990746452807,0.6979729693534823,0.29156846303342526,0.6971185523658512,0.28880673039561316,0.6924795234549516,0.291800359624584
Maria_SanJuan,60510,1393,0.33596554199569273,0.7222002772002771,0.5676329476966009,0.6836521136521136,0.5190168886882807,0.714929544929545,0.5606967694504472
Matthew_Fayetteville,59871,2032,0.10137795275590551,0.6482948563893703,0.19250158089056138,0.6389529875902552,0.18507842273785413,0.6530349110475441,0.1960049738199357
Matthew_Jacksonville,58449,3454,0.15431383902721482,0.6987268874611166,0.3190327490888431,0.6971236944350061,0.3169320067694487,0.6926628869164418,0.31643339812821736
Michael_PanamaCity,60644,1259,0.13105639396346305,0.6513517256661681,0.24913214797887143,0.6462467453326686,0.24119953181772463,0.6542518420032131,0.23772119195007527
Noreaster_Boston,58960,2943,0.436289500509684,0.7465866349694577,0.7049638336378935,0.7480649304557976,0.7044641811113703,0.7508722365873675,0.7073889574004574
Severe_Detroit,58533,3370,0.25608308605341246,0.6597848157257016,0.4022500506109743,0.6451816720829417,0.38332955293948506,0.6589234962498978,0.39726242416913415
Severe_Nashville,58490,3413,0.09434515089364195,0.7839238743617516,0.26463150682587633,0.7783135169024076,0.25627178840952236,0.7845447914301389,0.2644032936802445
Uri_Houston,57294,4609,0.18594055109568236,0.6255212311504653,0.24486810883271962,0.615426420572583,0.24422678745319432,0.6273837928211916,0.2547654055336157
Zeta_Atlanta,57483,4420,0.20067873303167422,0.7521907312308398,0.43477216816421327,0.749085048014038,0.429995591097004,0.7503818881469003,0.4403021612756855
Zeta_Birmingham,58607,3296,0.17354368932038836,0.7226203495476623,0.39990208927447424,0.7143768034461867,0.35085490116726575,0.7217301787786369,0.3954621962540518
