id,category,type,lat,lon,name,city,tags,source
hifld/10/6434,healthcare,hospital,18.395507404000057,-66.07284078899994,Administracion De Servicios Medicos De Pr (Asem),Monacillo Urbano,"{""addr:city"": ""Monacillo Urbano"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Administracion De Servicios Medicos De Pr (Asem)"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6435,healthcare,hospital,18.45599328700007,-66.06546953099996,Ashford Presbyterian Community Hospital Inc,San Juan,"{""addr:city"": ""San Juan"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Ashford Presbyterian Community Hospital Inc"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6436,healthcare,hospital,18.41182194000004,-66.06872207099997,Hosp Del Maestro,San Juan,"{""addr:city"": ""San Juan"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Hosp Del Maestro"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6437,healthcare,hospital,18.398645830000078,-66.07262920699998,Centro Cardiovascular De Pr Y Caribe Dr Ramon M Suarez,Monacillo Urbano,"{""addr:city"": ""Monacillo Urbano"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Centro Cardiovascular De Pr Y Caribe Dr Ramon M Suarez"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6438,healthcare,hospital,18.394598595000048,-66.07313195099994,Hosp Industrial C.F.S.E.,Monacillo Urbano,"{""addr:city"": ""Monacillo Urbano"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Hosp Industrial C.F.S.E."", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6439,healthcare,hospital,18.444654868000043,-66.06956059299995,Hosp Pavia Santurce,Santurce,"{""addr:city"": ""Santurce"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Hosp Pavia Santurce"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6440,healthcare,hospital,18.41941286900004,-66.05597589499996,Hosp Pavia De Hato Rey,Hato Rey,"{""addr:city"": ""Hato Rey"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Hosp Pavia De Hato Rey"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6441,healthcare,hospital,18.447135100000025,-66.06293602199997,San Jorge Childrens Hospital,San Juan,"{""addr:city"": ""San Juan"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""San Jorge Childrens Hospital"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6442,healthcare,hospital,18.39721598500006,-66.07230781599998,Hosp Pediatrico Universitario Dr Antonio Ortiz,Monacillo Urbano,"{""addr:city"": ""Monacillo Urbano"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Hosp Pediatrico Universitario Dr Antonio Ortiz"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
hifld/10/6443,healthcare,hospital,18.39059351900005,-66.07592975799997,Hosp Psiquiatrico Dr Ramon Fernandez Marina,Monacillo Urbano,"{""addr:city"": ""Monacillo Urbano"", ""category_hint"": ""healthcare"", ""layer_id"": 10, ""name"": ""Hosp Psiquiatrico Dr Ramon Fernandez Marina"", ""source"": ""HIFLD"", ""type_hint"": ""hospital""}",hifld
