id,category,type,lat,lon,name,city,tags,source
way/530910162,emergency_shelter,police,18.438057,-66.1943734,Cuartel de la Polícia Municipal de Toa Baja,Toa Baja,"{""addr:city"": ""Toa Baja"", ""amenity"": ""police"", ""name"": ""Cuartel de la Polícia Municipal de Toa Baja""}",osm_retry
way/530073173,healthcare,clinic,18.4390465,-66.1948931,Metro Pavía Clinic - Toa Baja,Toa Baja,"{""addr:city"": ""Toa Baja"", ""amenity"": ""clinic"", ""name"": ""Metro Pavía Clinic - Toa Baja""}",osm_retry
way/1312067501,water_infrastructure,water_works,18.4371668,-66.1904854,AAA,Puerto Rico,"{""man_made"": ""water_works"", ""name"": ""AAA""}",osm_retry
way/1312070599,communications,tower,18.4499549,-66.1884037,,Puerto Rico,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",osm_retry
way/403497638,tourism_hospitality,hotel,18.4082468,-66.1597563,Hyatt Place Bayamón,Bayamón,"{""addr:city"": ""Bayamón"", ""name"": ""Hyatt Place Bayamón"", ""tourism"": ""hotel""}",osm_retry
way/290097474,supply_chain,supermarket,18.4245172,-66.1613299,Pueblo,Puerto Rico,"{""name"": ""Pueblo"", ""shop"": ""supermarket""}",osm_retry
way/534159809,major_industry,industrial,18.4288599,-66.1504564,Palmas Industrial Park,Puerto Rico,"{""landuse"": ""industrial"", ""name"": ""Palmas Industrial Park""}",osm_retry
way/533360975,supply_chain,supermarket,18.4415189,-66.164621,Econo,Puerto Rico,"{""name"": ""Econo"", ""shop"": ""supermarket""}",osm_retry
way/60449162,major_industry,industrial,18.4568599,-66.1487437,,Puerto Rico,"{""landuse"": ""industrial""}",osm_retry
way/60468388,major_industry,industrial,18.4505593,-66.1550906,Almacenes AEE / Luma Energy,Puerto Rico,"{""landuse"": ""industrial"", ""name"": ""Almacenes AEE / Luma Energy""}",osm_retry
way/84567357,core_energy,plant,18.4558707,-66.1486603,Central Palo Seco,Toa Baja,"{""addr:city"": ""Toa Baja"", ""landuse"": ""industrial"", ""name"": ""Central Palo Seco"", ""operator"": ""LUMA Energy"", ""power"": ""plant""}",osm_retry
