model,variant,term,coef,std_err,stat,p_value,ci_low,ci_high,kind,odds_ratio,or_ci_low,or_ci_high
Logit,no_nlcd,Intercept,0.855620234145179,0.08003021835980528,10.691214539718278,1.1189596708959315e-26,0.6987638884850844,1.0124765798052735,logit,2.352833235622923,2.0112650224054165,2.75240914199917
Logit,no_nlcd,C(event_id)[T.ida_neworleans],-0.8457371272925729,0.07086215275580035,-11.934962379806418,7.779405456629608e-33,-0.9846243945609173,-0.7068498600242284,logit,0.4292408364310298,0.37357951908706316,0.49319538745128827
Logit,no_nlcd,C(event_id)[T.irma_miami],-1.0172673374550871,0.07302126992180091,-13.93110991556963,4.099350954195268e-44,-1.1603863966071948,-0.8741482783029795,logit,0.361581672048563,0.3133650742850058,0.41721722135034495
Logit,no_nlcd,C(event_id)[T.laura_lakecharles],0.04908274831062408,0.07876834978227414,0.6231277974757008,0.5332005441536218,-0.10530038038428664,0.2034658770055348,logit,1.050307258295512,0.9000541233735313,1.2256433343069295
Logit,no_nlcd,C(event_id)[T.maria_sanjuan],3.9821718835457505,0.27465619857028384,14.498751181567535,1.233740748473622e-47,3.443855626217313,4.520488140874188,logit,53.63339330699273,31.3074355304496,91.88043763037857
Logit,no_nlcd,C(event_id)[T.michael_panamacity],0.11990944598661554,0.08579012903951662,1.397706791318415,0.16220113403576486,-0.048236117159880854,0.28805500913311194,logit,1.1273947568370009,0.9529087624018526,1.333830674974481
Logit,no_nlcd,in_buffer,-0.3811255546402059,0.07160355858846178,-5.322718062529655,1.022281241240984e-07,-0.5214659506384947,-0.24078515864191716,logit,0.6830921188503436,0.5936496486969365,0.7860104758078666
Logit,no_nlcd,pre_mean_ntl,0.000255315004123591,0.0160039613367517,0.01595323799847494,0.9872716976129624,-0.031111872825881244,0.03162250283412842,logit,1.0002553475997733,0.9693671211705668,1.0321278064328907
Logit,no_nlcd,in_buffer:pre_mean_ntl,0.018549028227239365,0.01690108573570484,1.0975051258424848,0.2724206412597622,-0.014576491114365767,0.0516745475688445,logit,1.0187221300852973,0.9855292316200304,1.0530329745973948
Logit,with_nlcd,Intercept,0.9346008313225895,0.1297127206552395,7.205159421539263,5.797597870528281e-13,0.6803685705016154,1.1888330921435637,logit,2.5461968928159355,1.9746053794227514,3.2832477235936506
Logit,with_nlcd,C(event_id)[T.ida_neworleans],-1.500766679524396,0.08839961105752721,-16.977073332910393,1.2139036811326367e-64,-1.674026733444498,-1.3275066256042938,logit,0.22295915638428743,0.1874905690110358,0.2651375249315454
Logit,with_nlcd,C(event_id)[T.irma_miami],-1.5619435546550802,0.09102449354098628,-17.159596212988234,5.328279262445518e-66,-1.7403482837064121,-1.3835388256037482,logit,0.2097280568888761,0.17545928036553074,0.25068983387341387
Logit,with_nlcd,C(event_id)[T.laura_lakecharles],-0.30315664193024594,0.10153243836190445,-2.9858107105599863,0.0028282765273589397,-0.5021565643821116,-0.10415671947838026,logit,0.7384834098432662,0.6052240466991778,0.9010840689296067
Logit,with_nlcd,C(event_id)[T.maria_sanjuan],4.071932111789304,0.4161327659520743,9.78517541744902,1.3036902353061704e-22,3.256326877736203,4.887537345842405,logit,58.67021055829744,25.954029520645683,132.62655820811133
Logit,with_nlcd,C(event_id)[T.michael_panamacity],-0.11785695935163015,0.10816113405960419,-1.0896424152383877,0.2758706913979244,-0.32984888663546297,0.09413496793220263,logit,0.8888231813662598,0.7190323806249452,1.0987080262608018
Logit,with_nlcd,C(land_use)[T.22.0],-0.21748056965101809,0.0924997199345663,-2.35114841217749,0.01871556734922652,-0.39877668930280974,-0.03618444999922646,logit,0.804543237323828,0.6711405574863893,0.964462381990128
Logit,with_nlcd,C(land_use)[T.23.0],-0.19116696108926007,0.09376799983324234,-2.03872282046362,0.04147769886333406,-0.37494886366477287,-0.007385058513747295,logit,0.8259946676684004,0.6873244251445507,0.9926421440255727
Logit,with_nlcd,C(land_use)[T.24.0],-0.19597257269778426,0.11594249023174352,-1.6902567152566605,0.09097885217797465,-0.42321567782988856,0.03127053243432007,logit,0.8220347805653572,0.6549373624088373,1.0317645919203355
Logit,with_nlcd,in_buffer,0.16352749133287872,0.10083841329219116,1.6216785448521347,0.10487219504562902,-0.03411216697798103,0.36116714964373847,logit,1.177657730123081,0.9664630933130278,1.435003301123938
Logit,with_nlcd,pre_mean_ntl,0.0976750211939423,0.020574139572058406,4.74746566444966,2.05981343649419e-06,0.057350448619807495,0.13799959376807708,logit,1.1026044038157934,1.059026879879701,1.147975083929958
Logit,with_nlcd,in_buffer:pre_mean_ntl,-0.07603398239567405,0.020838532746682584,-3.648720537091479,0.00026354960533939864,-0.11687675606983045,-0.03519120872151765,logit,0.926784711659473,0.8896948358950992,0.9654208017309496
