fpr,tpr,threshold,auc,variant
0.0,0.0,inf,0.7191682793637468,no_nlcd
0.0,0.0001585037248375337,0.9921499088476738,0.7191682793637468,no_nlcd
0.0,0.06562054208273894,0.9897830943910672,0.7191682793637468,no_nlcd
0.0002501876407305479,0.06562054208273894,0.9897800913664927,0.7191682793637468,no_nlcd
0.0002501876407305479,0.06863211285465208,0.9897289022655746,0.7191682793637468,no_nlcd
0.0005003752814610958,0.06863211285465208,0.9897274915120584,0.7191682793637468,no_nlcd
0.0005003752814610958,0.07021715010302743,0.9897164241479524,0.7191682793637468,no_nlcd
0.0007505629221916438,0.07021715010302743,0.9897146479773973,0.7191682793637468,no_nlcd
0.0007505629221916438,0.09621176097638294,0.9894741253217534,0.7191682793637468,no_nlcd
0.0010007505629221916,0.09621176097638294,0.9894730099485282,0.7191682793637468,no_nlcd
0.0010007505629221916,0.11158662228562372,0.9893858164522643,0.7191682793637468,no_nlcd
0.0012509382036527395,0.11158662228562372,0.9893857669240577,0.7191682793637468,no_nlcd
0.0012509382036527395,0.13203360278966556,0.9892786820697899,0.7191682793637468,no_nlcd
0.0015011258443832875,0.13203360278966556,0.9892778947590639,0.7191682793637468,no_nlcd
0.0015011258443832875,0.1840228245363766,0.9890333384408482,0.7191682793637468,no_nlcd
0.0017513134851138354,0.1840228245363766,0.9890303327001851,0.7191682793637468,no_nlcd
0.0017513134851138354,0.18576636550958947,0.9890225054020775,0.7191682793637468,no_nlcd
0.0020015011258443832,0.18576636550958947,0.9890183351914328,0.7191682793637468,no_nlcd
0.0020015011258443832,0.19115549215406563,0.9889799980902256,0.7191682793637468,no_nlcd
0.002251688766574931,0.19115549215406563,0.9889764786376039,0.7191682793637468,no_nlcd
0.002251688766574931,0.19210651450309082,0.9889692515575668,0.7191682793637468,no_nlcd
0.002501876407305479,0.19210651450309082,0.9889678213503498,0.7191682793637468,no_nlcd
0.002501876407305479,0.19353304802662863,0.9889599121216908,0.7191682793637468,no_nlcd
0.0027520640480360272,0.19353304802662863,0.9889598037470047,0.7191682793637468,no_nlcd
0.0027520640480360272,0.20637184973846887,0.9888108755831437,0.7191682793637468,no_nlcd
0.003002251688766575,0.20637184973846887,0.9888080074450911,0.7191682793637468,no_nlcd
0.003002251688766575,0.209383420510382,0.9887519418040851,0.7191682793637468,no_nlcd
0.003252439329497123,0.209383420510382,0.9887490213109251,0.7191682793637468,no_nlcd
0.003252439329497123,0.2169915993025836,0.9886628241599196,0.7191682793637468,no_nlcd
