model,variant,term,coef,std_err,stat,p_value,ci_low,ci_high,kind
MixedLM,no_nlcd,Intercept,-5.30696731084493e-16,,,,,,linear
MixedLM,no_nlcd,in_buffer,0.028273370126765993,0.012114753758348005,2.333796517100766,0.019606379273125772,0.004528889078832643,0.05201785117469934,linear
MixedLM,no_nlcd,pre_mean_ntl,0.003839954185273716,0.002890701651921195,1.3283813577653842,0.18405215485411064,-0.0018257169425422654,0.009505625313089697,linear
MixedLM,no_nlcd,in_buffer:pre_mean_ntl,-0.002012849628425739,0.0030241271913515554,-0.665596881699327,0.5056688000956931,-0.007940030008143056,0.003914330751291578,linear
MixedLM,no_nlcd,Group Var,0.0,,,,,,linear
MixedLM,with_nlcd,Intercept,7.644417431002526e-16,65668.55241551444,1.1640910526903139e-20,1.0,-128707.99765128907,128707.99765128907,linear
MixedLM,with_nlcd,C(land_use)[T.22.0],0.025410585867625523,0.010693339137750878,2.3763003810398287,0.01748722052282149,0.004452026283161208,0.04636914545208984,linear
MixedLM,with_nlcd,C(land_use)[T.23.0],0.028320394503191456,0.010683886083169508,2.6507578125346183,0.008031140708617856,0.0073803625652505145,0.0492604264411324,linear
MixedLM,with_nlcd,C(land_use)[T.24.0],0.03468221541162049,0.013285931120969733,2.6104467271307854,0.009042405449312606,0.008642268913439943,0.06072216190980104,linear
MixedLM,with_nlcd,in_buffer,-0.023778392856487588,0.011878477038122033,-2.001804842504196,0.04530572494306508,-0.04705978004239279,-0.0004970056705823865,linear
MixedLM,with_nlcd,pre_mean_ntl,-0.007469407780921772,0.0025571205801853307,-2.9210229031829296,0.0034888417857271196,-0.012481272022211188,-0.0024575435396323557,linear
MixedLM,with_nlcd,in_buffer:pre_mean_ntl,0.009730807258544695,0.0025890206672758652,3.75848960247325,0.00017094214078346506,0.004656419995454141,0.01480519452163525,linear
MixedLM,with_nlcd,Group Var,0.0,,,,,,linear
