covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),model,variant,hazard_ratio
in_buffer,0.11879115542389708,1.1261347066024303,0.023544702453145803,0.07264438658901945,0.1649379242587747,1.075348060720038,1.179319909281639,0.0,5.045345366342713,4.527028943130977e-07,21.074932133862134,Cox,no_nlcd,1.1261347066024303
pre_mean_ntl,0.00036943082662007026,1.000369499074592,0.0027683331353216606,-0.005056402415819232,0.005795264069059373,0.9949563596677388,1.0058120890980007,0.0,0.13344883312865632,0.8938384274829068,0.1619140251518665,Cox,no_nlcd,1.000369499074592
event_ida_neworleans,0.21506715532159879,1.239945163086341,0.03440870629483498,0.14762733022910557,0.282506980414092,1.1590808614657107,1.3264510342419247,0.0,6.250370283577969,4.0948070362532416e-10,31.185485480987754,Cox,no_nlcd,1.239945163086341
event_irma_miami,-0.0028355845171858184,0.9971684319553452,0.034865011421089956,-0.07116975122309979,0.06549858218872814,0.9313037887516329,1.0676912235277733,0.0,-0.08133037683362307,0.9351792167829843,0.09668522679847841,Cox,no_nlcd,0.9971684319553452
event_laura_lakecharles,-1.2851708996840634,0.2766033081744302,0.03993103797861968,-1.363434295987459,-1.2069075033806678,0.2557808397244338,0.29912088088953975,0.0,-32.184760645896155,2.8839466132618593e-227,752.549633081335,Cox,no_nlcd,0.2766033081744302
event_maria_sanjuan,-2.72906543438104,0.06528026986450343,0.0497500104111877,-2.8265736630174603,-2.6315572057446195,0.059215398387497106,0.07196630858912166,0.0,-54.85557514109248,0.0,inf,Cox,no_nlcd,0.06528026986450343
event_michael_panamacity,-1.4035621291313656,0.24572011636197316,0.042782226899192005,-1.4874137530322027,-1.3197105052305285,0.2259562792586835,0.26721264743352463,0.0,-32.80713115842676,4.658950982584841e-236,781.755025241669,Cox,no_nlcd,0.24572011636197316
in_buffer,0.052183674771406646,1.0535692388317281,0.028718719173270405,-0.004103980490323261,0.10847133003313655,0.9959044293290974,1.1145729533106272,0.0,1.8170613548801982,0.0692077192336297,3.8529232288059756,Cox,with_nlcd,1.0535692388317281
pre_mean_ntl,-0.005313767548994851,0.9947003255402709,0.003412849096701585,-0.012002828863200015,0.0013752937652103123,0.9880689177461764,1.0013762399153756,0.0,-1.5569887206939346,0.11947316339183489,3.0652415050460915,Cox,with_nlcd,0.9947003255402709
event_ida_neworleans,0.39775822765879215,1.4884841121113108,0.04045767636436246,0.3184626390864643,0.47705381623112,1.375012248510458,1.6113201568989124,0.0,9.831464962954753,8.241111639907194e-23,73.3615072273781,Cox,with_nlcd,1.4884841121113108
event_irma_miami,0.1187551498033883,1.126094160153497,0.04115449252565485,0.03809382665108196,0.19941647295569465,1.0388286981238004,1.2206902445245,0.0,2.88559383229811,0.003906759843232162,7.999811711921916,Cox,with_nlcd,1.126094160153497
event_laura_lakecharles,-1.1395201789745926,0.3199725145288671,0.04907336430352345,-1.235702205609712,-1.0433381523394731,0.29063060825368864,0.3522767635147274,0.0,-23.220747041644653,2.8105941769614584e-119,393.81856813426776,Cox,with_nlcd,0.3199725145288671
event_maria_sanjuan,-2.7715404483873,0.06256555146772212,0.060709478706064295,-2.8905288401713873,-2.652552056603213,0.055546829447863995,0.07047113704544143,0.0,-45.65251600670473,0.0,inf,Cox,with_nlcd,0.06256555146772212
event_michael_panamacity,-1.374613467900524,0.25293734531498824,0.05152181423741962,-1.4755943682240293,-1.2736325675770186,0.2286427886422684,0.27981333255645197,0.0,-26.68022250858861,7.985354777609093e-157,518.5453543914293,Cox,with_nlcd,0.25293734531498824
lu_22,0.18633315678422935,1.2048235886736616,0.04214265121108401,0.10373507819747141,0.2689312353709873,1.1093065364973973,1.3085651549551527,0.0,4.421486342919535,9.802426109910001e-06,16.638429707488527,Cox,with_nlcd,1.2048235886736616
lu_23,0.19452247737854708,1.2147307865419068,0.04257580068688013,0.11107544141930632,0.27796951333778785,1.117479207892012,1.320445940606093,0.0,4.568850714262428,4.904059171401587e-06,17.637592182919335,Cox,with_nlcd,1.2147307865419068
lu_24,0.17931966699354365,1.1964031336387775,0.05243753189368626,0.07654399304374816,0.28209534094333916,1.0795496819688943,1.3259051270064008,0.0,3.4196816768017,0.0006269445256274384,10.639374585872817,Cox,with_nlcd,1.1964031336387775
