day,survival,group,variant
0.0,1.0,0,no_nlcd
1.0,0.7014398261342026,0,no_nlcd
2.0,0.5262157022548217,0,no_nlcd
3.0,0.46346101602825324,0,no_nlcd
4.0,0.4123879380603095,0,no_nlcd
5.0,0.3618581907090465,0,no_nlcd
6.0,0.34447161097527834,0,no_nlcd
7.0,0.3192067372996468,0,no_nlcd
8.0,0.2909535452322738,0,no_nlcd
9.0,0.2819885900570496,0,no_nlcd
10.0,0.27872860635696817,0,no_nlcd
11.0,0.27411029611518595,0,no_nlcd
12.0,0.2675903287150231,0,no_nlcd
13.0,0.25482205922303713,0,no_nlcd
14.0,0.23118717739744638,0,no_nlcd
15.0,0.22004889975550113,0,no_nlcd
16.0,0.20700896495517526,0,no_nlcd
17.0,0.185004074979625,0,no_nlcd
18.0,0.15756587883727247,0,no_nlcd
19.0,0.14941591958706865,0,no_nlcd
20.0,0.1458842705786471,0,no_nlcd
21.0,0.13936430317848406,0,no_nlcd
22.0,0.13447432762836184,0,no_nlcd
23.0,0.1317576745449606,0,no_nlcd
24.0,0.12849769084487905,0,no_nlcd
25.0,0.1265960336864982,0,no_nlcd
26.0,0.12469437652811735,0,no_nlcd
27.0,0.12197772344471612,0,no_nlcd
28.0,0.11488282230475493,0,no_nlcd
29.0,0.10942520604324643,0,no_nlcd
30.0,0.09932861595945558,0,no_nlcd
31.0,0.09414388051102252,0,no_nlcd
32.0,0.09141507238026818,0,no_nlcd
33.0,0.08895914506258937,0,no_nlcd
34.0,0.08786762181028766,0,no_nlcd
35.0,0.07313205790421455,0,no_nlcd
36.0,0.06193480501935872,0,no_nlcd
37.0,0.06088506256140351,0,no_nlcd
38.0,0.059040060665603404,0,no_nlcd
39.0,0.04428004549920256,0,no_nlcd
43.0,0.042435043603402445,0,no_nlcd
45.0,0.040590041707602345,0,no_nlcd
48.0,0.03874503981180223,0,no_nlcd
50.0,0.036900037916002125,0,no_nlcd
52.0,0.025830026541201482,0,no_nlcd
56.0,0.023985024645401382,0,no_nlcd
57.0,0.020295020853801173,0,no_nlcd
62.0,0.014760015166400848,0,no_nlcd
63.0,0.012915013270600741,0,no_nlcd
0.0,1.0,1,no_nlcd
1.0,0.6559999999999999,1,no_nlcd
2.0,0.4771320754716982,1,no_nlcd
3.0,0.40543396226415096,1,no_nlcd
4.0,0.3655849056603772,1,no_nlcd
5.0,0.32558490566037723,1,no_nlcd
6.0,0.30007547169811327,1,no_nlcd
7.0,0.2726037735849057,1,no_nlcd
8.0,0.250867924528302,1,no_nlcd
9.0,0.23728301886792455,1,no_nlcd
10.0,0.2316981132075471,1,no_nlcd
11.0,0.2288301886792453,1,no_nlcd
12.0,0.22098113207547163,1,no_nlcd
13.0,0.2140377358490566,1,no_nlcd
14.0,0.20090566037735855,1,no_nlcd
15.0,0.19335849056603766,1,no_nlcd
16.0,0.18792452830188675,1,no_nlcd
17.0,0.17781132075471695,1,no_nlcd
18.0,0.16286792452830187,1,no_nlcd
19.0,0.15788679245283024,1,no_nlcd
20.0,0.15456603773584904,1,no_nlcd
21.0,0.14807547169811325,1,no_nlcd
22.0,0.1450566037735849,1,no_nlcd
23.0,0.14339622641509436,1,no_nlcd
24.0,0.14113207547169815,1,no_nlcd
25.0,0.13735849056603772,1,no_nlcd
26.0,0.1331320754716981,1,no_nlcd
27.0,0.12905660377358485,1,no_nlcd
28.0,0.12300471145125957,1,no_nlcd
29.0,0.12149173837067832,1,no_nlcd
30.0,0.10545422371651658,1,no_nlcd
31.0,0.10091530447477264,1,no_nlcd
32.0,0.09849454754584255,1,no_nlcd
33.0,0.09577119600079621,1,no_nlcd
34.0,0.09274524983963367,1,no_nlcd
35.0,0.07731292441770439,1,no_nlcd
36.0,0.06695139846481615,1,no_nlcd
37.0,0.0650385013658214,1,no_nlcd
38.0,0.05961862625200296,1,no_nlcd
39.0,0.05419875113818449,1,no_nlcd
41.0,0.05148881358127526,1,no_nlcd
47.0,0.048778876024366036,1,no_nlcd
48.0,0.04606893846745683,1,no_nlcd
49.0,0.04335900091054759,1,no_nlcd
51.0,0.040649063353638375,1,no_nlcd
52.0,0.029809313126001477,1,no_nlcd
55.0,0.027099375569092254,1,no_nlcd
56.0,0.02438943801218303,1,no_nlcd
57.0,0.01896956289836457,1,no_nlcd
58.0,0.01625962534145535,1,no_nlcd
62.0,0.010839750227636896,1,no_nlcd
63.0,0.010839750227636896,1,no_nlcd
