model,variant,term,coef,std_err,stat,p_value,ci_low,ci_high,kind
OLS,no_nlcd,Intercept,-0.12884366974958572,0.014265208288621017,-9.032021625114366,1.6852911195977931e-19,-0.15680296422724518,-0.10088437527192626,linear
OLS,no_nlcd,C(event_id)[T.ida_neworleans],0.025329436276388863,0.007247869426931522,3.494742355908087,0.0004745195774689692,0.01112387323495412,0.03953499931782361,linear
OLS,no_nlcd,C(event_id)[T.irma_miami],0.029491645840777257,0.007845521052904538,3.759042343001422,0.0001705649723132142,0.014114707137133599,0.044868584544420914,linear
OLS,no_nlcd,C(event_id)[T.laura_lakecharles],0.022476057705366904,0.01957418963910666,1.1482497165789534,0.25086549058330077,-0.015888649013839226,0.060840764424573035,linear
OLS,no_nlcd,C(event_id)[T.maria_sanjuan],-0.48171948104423845,0.0070817523358385065,-68.02263877633911,0.0,-0.49559946056991433,-0.4678395015185626,linear
OLS,no_nlcd,C(event_id)[T.michael_panamacity],-0.09994059654567224,0.014084448989220337,-7.095811602013163,1.2859456038509249e-12,-0.12754560930663567,-0.0723355837847088,linear
OLS,no_nlcd,in_buffer,0.028273370126764914,0.01561238018445212,1.8109583415680253,0.07014730044047286,-0.0023263327477080487,0.058873073001237876,linear
OLS,no_nlcd,pre_mean_ntl,0.003839954185273416,0.004820458358175123,0.7965952405254475,0.4256861424798126,-0.005607970585724905,0.013287878956271737,linear
OLS,no_nlcd,in_buffer:pre_mean_ntl,-0.0020128496284254204,0.004951993723034456,-0.4064725726655399,0.6843954055445756,-0.01171857897724137,0.00769287972039053,linear
OLS,with_nlcd,Intercept,-0.154834340056362,0.014902262039368366,-10.389989093422537,2.7538459733578794e-25,-0.18404223694170244,-0.1256264431710216,linear
OLS,with_nlcd,C(event_id)[T.ida_neworleans],0.08425751138933042,0.005712828526167621,14.74882556047127,3.1306529771015732e-49,0.07306057322818885,0.095454449550472,linear
OLS,with_nlcd,C(event_id)[T.irma_miami],0.08181925473297966,0.007961924971709491,10.276315718083486,9.010645395139656e-25,0.06621416854081896,0.09742434092514035,linear
OLS,with_nlcd,C(event_id)[T.laura_lakecharles],0.04598986055555389,0.01656397520122906,2.7764989983890707,0.005494780435652863,0.01352506572033034,0.07845465539077744,linear
OLS,with_nlcd,C(event_id)[T.maria_sanjuan],-0.44410357895904723,0.006620630764228292,-67.07874140309536,0.0,-0.45707977681187256,-0.4311273811062219,linear
OLS,with_nlcd,C(event_id)[T.michael_panamacity],-0.08059235100820009,0.0137943338395488,-5.842424284175233,5.144657189288004e-09,-0.10762874852443785,-0.05355595349196232,linear
OLS,with_nlcd,C(land_use)[T.22.0],0.025410585867625447,0.011982313567292945,2.120674419419841,0.03394921065667637,0.0019256828242656156,0.048895488910985274,linear
OLS,with_nlcd,C(land_use)[T.23.0],0.028320394503191456,0.011898774169271485,2.3801102618056835,0.017307458413775782,0.004999225671243845,0.05164156333513907,linear
OLS,with_nlcd,C(land_use)[T.24.0],0.03468221541162059,0.016210234125546445,2.1395258787140716,0.032393102350489596,0.002910740344587416,0.06645369047865377,linear
OLS,with_nlcd,in_buffer,-0.023778392856487293,0.015377796104620967,-1.5462809296412754,0.1220367355719481,-0.05391831938314473,0.006361533670170141,linear
OLS,with_nlcd,pre_mean_ntl,-0.007469407780921776,0.002499557388859723,-2.988292172931167,0.002805412247680572,-0.012368450240377811,-0.00257036532146574,linear
OLS,with_nlcd,in_buffer:pre_mean_ntl,0.009730807258544708,0.0026179670913446984,3.7169326118406456,0.00020165620253305005,0.004599686046798016,0.0148619284702914,linear
